Name,Artist,Album,Track Number
Maiden Voyage / Everything In Its Right Place,Robert Glasper,In My Element,7
Knives Out,Brad Mehldau Trio,Day Is Done (Deluxe Version),1
Karma Police,The Bad Plus,Exit Music: Songs With Radio Heads,10
Pyramid Song,Realistic Orchestra,"Recorded Live at Bruno's In San Francisco, 08.05.03",4
Videotapes,Contreband,Contreband,2
Airbag,Júlio Resende Trio,You Taste Like a Song,4
2+2=5,Mark Edwards,In Deep,5
Morning Bell,"Eldar Djangirov, Armando Gola, Ludwig Afonso",Breakthrough,5
Little By Little,Dan White Sextet,New York Sessions,1
Paranoid Android,Brad Mehldau,Largo,5
I Might Be Wrong,Trio Jérôme Beaulieu,Chercher l'équilibre (feat. Philippe Leduc & William Côté),8
No Surprises,Yaron Herman Trio,Follow the White Rabbit,14
High and Dry,Rudy Royston,303,6
Scatterbrain,Steve Gadd Band,Gadditude,9
The Tourist,Aaron Choulai Trio,Ranu,7
Idioteque,Cory Wong Quartet,Even Uneven,6
The Bends,Louis Durra,The Best of All Possible Worlds,3
Climbing up the walls,Amnesiac Quartet,"Tribute to Radiohead, Vol.2",4
Bodysnatchers,Lawrence University Jazz Ensemble,Head Radio Retransmissions - A Tribute to Radiohead,12
Reckoner (Live At Capitol Studios / 2014),Robert Glasper,Reckoner (Live),1
Exit Music (For A Film),Brad Mehldau,"Songs: The Art Of The Trio, Volume Three",4
The Eraser,Christian Scott,Yesterday You Said Tomorrow,2
2 + 2 = 5,Ernesto Cervini Quartet,Little Black Bird,9
Morning Bell,Chris Potter,Underground Quartet,2
Pyramid Song,Turtleboy,Smart Matter,2
High & Dry,R.I.S.S.,Color & Style,2
Paranoid Android,Brad Mehldau,Live in Tokyo,6
Everything In Its Right Place,Brad Mehldau Trio,Anything Goes,8
Everything In Its Right Place (Alternate Version),Brad Mehldau Trio,Everything In Its Right Place,1
