Name,Artist,Album,Track Number
Superman,Goldfinger,The Best Of Goldfinger,4
New Girl,The Suicide Machines,Destruction By Definition,1
Police Truck,Dead Kennedys,Give Me Convenience or Give Me Death,1
Jerry Was A Race Car Driver,Primus,Sailing The Seas Of Cheese,5
Committed,Unsane,Occupational Hazard,1
Cyco Vision (Live At The Olympic Auditorium),Suicidal Tendencies,Year Of The Cycos,9
Blood Brothers,Papa Roach,Infest,6
Bring The Noise,Anthrax,Attack Of The Killer B's,2
Guerrilla Radio (Album Version),Rage Against The Machine,The Battle Of Los Angeles,2
Pin The Tail On The Donkey,Naughty By Nature,Naughty By Nature,8
You,Bad Religion,No Control (Re-Issue),10
When Worlds Collide,Powerman 5000,Tonight The Stars Revolt,3
No Cigar,Millencolin,Pennybridge Pioneers,1
B-Boy Document '99,The High And Mighty,Rawkus Records - Best of Decade I 1995-2005,15
Cyclone,Dub Pistols,Point Blank,3
May 16th,Lagwagon,Live In A Dive,17
Heavy Metal Winner,Consumed,Breakfast At Pappa's,1
Evil Eye,Fu Manchu,The Action Is Go,1
Five Lessons Learned,Swingin' Utters,Five Lessons Learned,1
Heavy Metal Winner,Consumed,Breakfast At Pappa's,1
Blitzkrieg Bop (Remastered Version),Ramones,Greatest Hits,1
Fight Like A Brave,Red Hot Chili Peppers,What Hits?,2
Wish,Alien Ant Farm,Anthology,9
Hush,KRS-One,Sneak Attack,15
Ace of Spades,Motörhead,Ace of Spades,1
I'm A Swing It,House Of Pain,Same As It Ever Was,2
If You Must,Del Tha Funkee Homosapien,Both Sides Of The Brain,2
I Can't Surf,Reverend Horton Heat,Liquor In The Front,10
Amoeba,Adolescents,Live At The House Of Blues,19
Check,Zebrahead,Waste Of Mind,1
I'm Destroying The World,Guttermouth,Covered With Ants,6
Not The Same,Bodyjar,How It Works,1
Shimmy,System Of A Down,Toxicity,11
Anarchy In The UK,Sex Pistols,Agents Of Anarchy,9
My Adidas,Run-D.M.C.,Ultimate Run Dmc,12
Bad Fun,The Cult,Electric,6
Express Yourself,N.W.A,Straight Outta Compton (2002 - Remaster),14
Seneca Falls,The Distillers,Sing Sing Death House,3
Mass Appeal,Gang Starr,Hard To Earn,11
Spokesman,Goldfinger,The Best Of Goldfinger,13
All My Best Friends Are Metalheads,Less Than Jake,Hello Rockview,3
Drunken Lullabies,Flogging Molly,Drunken Lullabies,1
Savoir Faire,Rocket From The Crypt,Group Sounds,8
Labor,Aesop Rock,Labor Days,1
Simple Song,Avail,4AM Friday,1
Manthem,The Bouncing Souls,How I Spent My Summer Vacation,8
House of the Rising Drum,Delinquent Habits,Merry Go Round,13
Big Shots,Eyedea & Abilities,First Born,10
Skate & Destroy,The Faction,Collection 1982-1985,16
Non Compos Mentis,Haiku D'Etat,Haiku D'etat,2
Beach Blanket Bongout (JFA),A.N.S.,Let Them Eat Wood,20
Whenimondamic,The Lootpack,Soundpieces: Da Antidote,5
Giant,Nebula,Charged,3
Dig That Groove Baby,Toy Dolls,We're Mad - The Anthology,2
Yer Country,U.S. Bombs,Back At The Laundromat,11
Rappers On Deck,Aceyalone,Hip Hop And The World We Live In,4
Armageddon,Alkaline Trio,From Here To Infirmary,8
She Said...,Angry Amputees,Slut Bomb,6
Everyday,Authority Zero,A Passage In Time,4
Big Bang,Bad Religion,No Control (Re-Issue),2
2RAK005,Bracket,"""E"" Is For Everything On Fat Wreck Chords",2
It's Alright,Camarosmith,Camarosmith,1
Positive Contact,Deltron 3030,Deltron 3030,5
Time To Go,Dropkick Murphys,Blackout,13
Annie's Grave,Electric Frankenstein,Annie's Grave,9
I Want It All,Flamethrower,Flamethrower,9
California Crossing,Fu Manchu,California Crossing,5
Crush 'Em,G.B.H.,Ha Ha,3
"Hung, Drawn and Quartered",High On Fire,Surrounded By Thieves,2
Remedy,Hot Water Music,Caution,1
Embody the Invisible,In Flames,Colony,1
Braggin' Writes (Revisited),J-Live,The Best Part,18
Suffer Some,Jane's Addiction,Strays,9
A Day At The Races (Album Version (Edited)),Jurassic 5,Power In Numbers,6
King Kong,L.A. Symphony,Baloney,3
Crusher Destroyer,Mastodon,Remission,1
Underground Up,Mr. Complex,Hold This Down,5
Skin Therapy,Mr. Dibbs,The 30Th Song,12
