Name,Artist,Album,Track Number
Eleven Thousand Six Hundred and Sixty-Nine Died of Natural Causes,Jóhann Jóhannsson,Copenhagen Dreams: Music from the Film,1
Matador,Arms And Sleepers,Matador,2
Fragment,"Raz Ohara, The Odd Orchestra",Raz Ohara & The Odd Orchestra,4
Huron River Drive,Shigeto,Lineage,6
Rites,Anenon,Acquiescence - EP,5
Berlin,Moderat,Moderat (Deluxe Version),11
Fleur,Sepalcure,Fleur EP,1
Broken Promise,Synkro,Broken Promises EP,1
Forgive,Burial,Burial,9
Es Schneit,Pantha Du Prince,Black Noise,11
Tears,Submerse,Tears,6
Anywhere Anyone (Pearson Sound Beatless Reduction),Dntel,Life Is Full Of Possibilities (Deluxe),23
