Name,Artist,Album,Track Number
Young Cardinals,Alexisonfire,Old Crows Young Cardinals,2
Boiled Frogs,Alexisonfire,Crisis,4
Heading For The Sun,Alexisonfire,Old Crows Young Cardinals,9
Pulmonary Archery,Alexisonfire,Alexisonfire (Remastered),11
"Drunks, Lovers, Sinners And Saints",Alexisonfire,Crisis,1
No Transitory,Alexisonfire,"""Watch out!""",6
Get Fighted,Alexisonfire,"""Watch out!""",10
Midnight Regulations,Alexisonfire,Old Crows Young Cardinals,7
Waterwings (And Other Pool Side Fashion Faux Pas),Alexisonfire,Alexisonfire (Remastered),6
Control,Alexisonfire,"""Watch out!""",2
Rough Hands,Alexisonfire,Crisis,11
Born And Raised,Alexisonfire,Old Crows Young Cardinals,4
Old Crows,Alexisonfire,Old Crows Young Cardinals,1
You Burn First,Alexisonfire,Crisis,6
We Are The Sound,Alexisonfire,Crisis,5
Keep It On Wax,Alexisonfire,Crisis,9
Accept Crime,Alexisonfire,Old Crows Young Cardinals,10
Dog's Blood,Alexisonfire,Dog's Blood EP,1
To A Friend,Alexisonfire,Crisis,10
.44 Caliber Love Letter,Alexisonfire,Alexisonfire (Remastered),1
Accidents,Alexisonfire,"""Watch out!""",1
The Northern,Alexisonfire,Old Crows Young Cardinals,6
This Could Be Anywhere In The World,Alexisonfire,Crisis,2
Happiness by the Kilowatt,Alexisonfire,"""Watch out!""",11
