Name,Artist,Album,Track Number
?,Mark Pritchard,? / The Hologram,1
Urban Animal,Claude VonStroke,Urban Animal,1
Blood Bank,Seekae,+Dome,3
Wen Uuu,Shlohmo,Vacation - Single,2
Spending Time,Submerse,Melonkoly,2
Move On (Bath Remix),Lali Puna,Silver Light,3
Love You Gotta Lose Again,Nicolas Jaar,Love You Gotta Lose Again,2
ARP3,Floating Points,Shadows,4
The Keeper (Banks Remix),Bonobo,Black Sands Remixed,2
The Offbeat,FLYamSAM,Ghostly Swim,9
What We Held On To,Shigeto,What We Held On To EP,4
In Between,Sweatson Klank,Elevate Me,5
Forgetting and Learning Again,Lapalux,Some Other Time EP,3
Wouh,Nicolas Jaar,Wouh,1
