Name,Artist,Album,Track Number
Hyper Real (Deft Remix),Ital Tek,Hyper Real,6
Fancy Restaurant (Deft Remix),Gang Colours,Fancy Restaurant,4
Melonkoly (Deft Remix),Submerse,Melonkoly,5
Invisible Colors (Deft Remix),123Mrk,Noname EP Remixed,2
Magellanic Clouds (Deft Remix),Danny Scrilla,Fluxus,6
Betamax (Deft Remix),Big Black Delta,Betamax (Remixes),4
Yapeyú (Deft Remix),My Panda Shall Fly,Tropical Remixes EP,2
Stutter Shades (Deft Remix),Glenn Astro,The Power,5
Viaduct (Deft Remix),Manni Dee,Shifting,5
Bag of Snakes (Deft Remix),iO Sounds,iO Sounds,5
Bruk (Deft Remix),Slick Shoota,Draw,8
Cry x3 (Deft Remix),Polar Pair,Cry x3,2
Don't Panic (Deft Remix),"WALLWORK & RZR, WALLWORK, RZR",Don't Panic,4
