Name,Artist,Album,Track Number
Flagpole Sitta,Harvey Danger,Where Have All The Merrymakers Gone?,2
Until The Day I Die,Story Of The Year,Page Avenue (US Non-PA Version),2
Anthem Of Our Dying Day,Story Of The Year,Page Avenue (US Non-PA Version),3
What It Is To Burn (New Version),Finch,What It Is To Burn,13
Basket Case,Green Day,International Superhits!,5
When I Come Around,Green Day,International Superhits!,6
Minority,Green Day,International Superhits!,18
Brain Stew,Green Day,International Superhits!,10
The Middle,Jimmy Eat World,Jimmy Eat World,3
Sweetness,Jimmy Eat World,Jimmy Eat World,5
Papercut,Linkin Park,Hybrid Theory,1
One Step Closer,Linkin Park,Hybrid Theory,2
Crawling,Linkin Park,Hybrid Theory,5
In The End,Linkin Park,Hybrid Theory,8
Everlong,Foo Fighters,Greatest Hits,3
Learn to Fly,Foo Fighters,Greatest Hits,6
Monkey Wrench,Foo Fighters,Greatest Hits,8
Iris,The Goo Goo Dolls,Dizzy Up The Girl,11
Reinventing Your Exit,Underoath,Anthology 1999-2013,12
