Name,Artist,Album,Track Number
Catacombs,Pale,Catacombs,1
Oak Music,Pale,Catacombs,2
Orchidea,Pale,Catacombs,3
Playing Truant,Pale,Playing Truant,1
Dart,Pale,Playing Truant,2
Why'd You Even Say,Pale,Why'd you even say,1
Fille,Pale,Why'd you even say,2
Damn Social,Pale,Why'd you even say,3
The Yearn,Pale,The Yearn EP,1
Those Ships,Pale,The Yearn EP,2
Ghosts,Pale,The Yearn EP,3
Silverstair,Pale,Silverstair,1
Jungle Juice (Pále Remix),Mak & Pasteman,Playboy VIP & Remixes,5
Got Me Down (Pále Remix),Maribou State,Beginnings,11
Wake (Pale Remix),Tuesday Born,"Ad Remixes, Vol. 1",6
Glacier Thawed (Pále Remix),Sephine Llo,Flame,4
